TAG_CODE,CAPTURE_CODE,MARCH_FLAG,APR_FLAG,MAY_FLAG,JUNE_FLAG,JULY_FLAG,AUGUST_FLAG,SEP_FLAG,SOCKEYE_FLAG,HATCHERY_REARED,SS_FLAG,LENGTH_MM
3DD.003D281FD3,0,0,1,0,0,0,0,0,1,0,1,128
3DD.003BE9EB62,0,0,0,0,1,0,0,0,0,0,0,146
3DD.003D4250AE,0,0,0,0,0,0,0,1,1,1,1,88
3DD.003D424AFC,0,0,0,0,0,0,0,1,1,1,1,106
384.3B23A5AA85,0,0,0,0,1,0,0,0,0,0,0,115
3DD.003D424EB4,0,0,0,0,0,0,0,1,1,1,1,94
3DD.003D42511D,0,0,0,0,0,0,0,1,1,1,1,98
3DD.003C09A609,0,0,0,0,0,0,0,1,1,1,1,95
3DD.003D47DFE8,0,0,1,0,0,0,0,0,1,0,1,115
3DD.003BE9EA65,0,0,0,1,0,0,0,0,0,0,0,135
3DD.003D4256DC,0,0,0,0,0,0,0,1,1,1,1,97
3DD.003D42559F,0,0,0,0,0,0,0,1,1,1,1,90
3DD.003D4241B7,0,0,0,0,0,0,0,1,1,1,1,85
3DD.003D4255C0,0,0,0,0,0,0,0,1,1,1,1,100
384.3B239A75DA,0,0,0,1,0,0,0,0,0,0,0,123
384.3B23A21217,1,0,0,0,1,0,0,0,0,0,0,118
384.3B23A21005,1,0,0,0,1,0,0,0,0,0,0,124
384.3B23A2E01F,1,0,0,0,1,0,0,0,0,0,0,119
3DD.003BE9E929,1,0,1,0,0,0,0,0,0,0,0,132
3DD.003C09AB37,0,0,0,0,0,0,0,1,1,1,1,88
3DD.003D42505A,1,0,0,0,0,0,0,1,1,1,1,90
3DD.003C098A5F,0,0,0,1,0,0,0,0,1,0,1,134
3DD.003D424E28,0,0,0,0,0,0,0,1,1,1,1,96
3DD.003D47D7C5,0,0,1,0,0,0,0,0,1,0,1,120
3DD.003D424C58,0,0,0,0,0,0,0,1,1,1,1,119
3DD.003D280FEE,0,0,0,0,0,1,0,0,0,0,1,117
3DD.003D4249B1,0,0,0,0,0,0,0,1,1,1,1,88
3DD.003D4258AC,0,0,0,0,0,0,0,1,1,1,1,101
3DD.003C0998F9,0,0,0,0,0,0,0,1,1,1,1,77
3DD.003D4240B5,0,0,0,0,0,0,0,1,1,1,1,102
3DD.003D47F213,0,0,0,1,0,0,0,0,1,1,0,152
3DD.003C0994FE,0,0,0,0,0,0,0,1,1,1,1,84
3DD.003D4249AB,0,0,0,0,0,0,0,1,1,1,1,116
3DD.003C099FD4,0,0,0,0,0,0,0,1,1,1,1,95
3DD.003C09A535,0,0,0,0,0,0,0,1,1,1,1,111
3DD.003C09B733,0,0,1,0,0,0,0,0,1,1,0,180
3DD.003D424E2D,0,0,0,0,0,0,0,1,1,1,1,96
3DD.003D5C6B1C,0,0,0,0,1,0,0,0,1,0,1,117
3DD.003BE9E94D,0,0,0,1,0,0,0,0,0,0,0,133
3DD.003BE9EB83,0,0,0,0,1,0,0,0,0,0,0,140
3DD.003D424652,0,0,0,0,0,0,0,1,1,1,1,98
3DD.003C099BF3,0,0,0,0,1,0,0,0,1,0,1,164
3DD.003D42530D,0,0,0,0,0,0,0,1,1,1,1,94
3DD.003C09A859,0,0,0,0,1,0,0,0,1,0,1,163
3DD.003D281FEA,0,0,1,0,0,0,0,0,1,0,1,147
3DD.003D480D5F,0,0,1,0,0,0,0,0,1,1,0,163
3DD.003D424324,0,0,0,0,0,0,0,1,1,1,1,95
3DD.003D5C70D3,0,0,0,1,0,0,0,0,1,0,1,119
3DD.003D5C6F1D,0,0,0,0,1,0,0,0,1,0,1,114
3DD.003D352EC8,0,0,1,0,0,0,0,0,1,1,0,163
3DD.003D4247FB,0,0,0,0,0,0,0,1,1,1,1,89
3DD.003C09A03B,0,0,0,0,0,0,0,1,1,1,1,90
3DD.003D424B26,0,0,0,0,0,0,0,1,1,1,1,83
3DD.003D425698,0,0,0,0,0,0,0,1,1,1,1,94
3DD.003D4253A6,0,0,0,0,0,0,0,1,1,1,1,88
3DD.003D425897,0,0,0,0,0,0,0,1,1,1,1,97
3DD.003D4253F7,0,0,0,0,0,0,0,1,1,1,1,95
3DD.003D4257CE,0,0,0,0,0,0,0,1,1,1,1,89
3DD.003D2808C4,0,0,1,0,0,0,0,0,0,0,0,123
3DD.003D4250F0,0,0,0,0,0,0,0,1,1,1,1,96
3DD.003D424E0C,0,0,0,0,0,0,0,1,1,1,1,89
3DD.003D4245E9,0,0,0,0,0,0,0,1,1,1,1,99
3DD.003D424E33,0,0,0,0,0,0,0,1,1,1,1,98
3DD.003C099D4B,0,0,0,0,0,0,0,1,1,1,1,83
3DD.003C098A66,0,0,0,1,0,0,0,0,1,0,1,145
3DD.003D424F04,0,0,0,0,0,0,0,1,1,1,1,88
3DD.003D424794,0,0,0,0,0,0,0,1,1,1,1,95
3DD.003D424AB5,0,0,0,0,0,0,0,1,1,1,1,92
3DD.003D5C6CAD,0,0,0,1,0,0,0,0,1,0,1,140
